reihenfolge,datum,kino_name,alphabet_kino,alphabet_stadt,kino_name_escaped,kino_strasse_nr,kino_plz,kino_stadt,lon,lat,kino_tel,kino_url,kino_url_hyper,kino_info,kino_map,video_url,image,video_id
35,2014-11-27,Kino im Schafstall,37,65,schafstall-schwaebisch-hall,Im Lindach 9,74523,Schwäbisch-Hall,9.733766,49.108805,0791 71937,http://www.kinoimschafstall.de,http://www.kinoimschafstall.de,Hier kommt ein Karton. Hier kommt ein Karton. Hier kommt ein Karton.,"https://www.google.com/maps/place/Cinema+in+the+sheepfold/@49.1088045,9.733766,17z/data=!3m1!4b1!4m5!3m4!1s0x47985072da38f087:0xf64b7cb93ac05f83!8m2!3d49.1088045!4d9.7359548?hl=en-GB",,,134409421
36,2014-11-28,Filmklappe,23,69,filmklappe-speyer,Kleine Greifengasse 9,67346,Speyer,8.438672,49.316463,06232 73839,http://www.filmklappe-speyer.de/,http://www.filmklappe-speyer.de/,Hier kommt ein Karton. Hier kommt ein Karton. Hier kommt ein Karton.,"https://www.google.com/maps/place/Verein+Alter+Stadtsaal+e.V./@49.316463,8.438672,17z/data=!4m5!3m4!1s0x0:0xec25b6ac64e7784e!8m2!3d49.3164631!4d8.4386718?hl=en-GB",https://vimeo.com/232311680,,133146010
37,2014-11-30,Weitwinkel Kommunales Kino,73,68,weitwinkel-singen,Mühlenstraße 13,78224,Singen,8.829511,47.761457,07731 67578,http://www.diegems.de/kino.html,http://www.diegems.de/kino.html,Hier kommt ein Karton. Hier kommt ein Karton. Hier kommt ein Karton.,"https://www.google.de/maps/place/GEMS+Kulturzentrum/@47.761457,8.8295108,17z/data=!3m1!4b1!4m5!3m4!1s0x479a7d153f93395d:0xb9dc40d3b3efd311!8m2!3d47.761457!4d8.8316995",https://vimeo.com/232337843,,130017082
38,2014-11-30,Kulturzentrum Linse,51,72,kulturzentrum-linse-weingarten,Lieb­frau­en­str. 58,88250,Weingarten,9.634891,47.80447,0751 51199,http://www.kulturzentrum-linse.de/kino-programm-tickets/,http://www.kulturzentrum-linse.de/kino-programm-tickets/,Hier kommt ein Karton. Hier kommt ein Karton. Hier kommt ein Karton.,"https://www.google.com/maps/place/Kulturzentrum+Linse+e.V./@47.80447,9.6348913,17z/data=!3m1!4b1!4m5!3m4!1s0x479bafa4d4fcb239:0x39aff4d92deeed68!8m2!3d47.80447!4d9.63708?hl=en-GB",,,123323317
39,2014-12-01,Kino Utopia,43,71,utopia-wasserburg,Herrengasse 5-7,83512,Wasserburg a. Inn,12.229621,48.061226,08071 62 06,http://www.kino-utopia.de,http://www.kino-utopia.de,Hier kommt ein Karton. Hier kommt ein Karton. Hier kommt ein Karton.,"https://www.google.com/maps/place/Kino+Utopia/@48.0612255,12.2296205,17z/data=!3m1!4b1!4m5!3m4!1s0x477607f353374d6b:0xb5ad28b6467a9582!8m2!3d48.0612255!4d12.2318092?hl=en-GB",https://vimeo.com/232336986,,105220220
40,2014-12-02,Lichtspiel,55,5,lichtspiel-bamberg,Untere Königstr. 34,96052,Bamberg,10.887851,49.897959,0951 26785,http://www.lichtspielkino.de/,http://www.lichtspielkino.de/,Hier kommt ein Karton. Hier kommt ein Karton. Hier kommt ein Karton.,"https://www.google.de/maps/place/Lichtspiel,+Kino+%26+Caf%C3%A9/@49.8979585,10.8878508,17z/data=!3m1!4b1!4m5!3m4!1s0x47a22314ad894255:0xc714fdae903dec24!8m2!3d49.8979585!4d10.8900395",https://vimeo.com/232335733,,99451997
41,2014-12-03,Central-Kino,10,32,central-kino-hof,Altstadt 8,95028,Hof,11.913419,50.318356,09281 142488,http://www.kino-hof.de/,http://www.kino-hof.de/,Hier kommt ein Karton. Hier kommt ein Karton. Hier kommt ein Karton.,"https://www.google.de/maps/place/Central-Kino+Hof/@50.3183557,11.9134192,17z/data=!3m1!4b1!4m5!3m4!1s0x47a117551fbb3af1:0x7d7d1fdd6e464dda!8m2!3d50.3183557!4d11.9156079",https://vimeo.com/232468011,,99449458
42,2014-12-04,Cineding,11,40,cineding-leipzig,Karl-Heine-Str. 83,4229,Leipzig,12.330107,51.330802,034123 959 474,http://www.cineding-leipzig.de,http://www.cineding-leipzig.de,Hier kommt ein Karton. Hier kommt ein Karton. Hier kommt ein Karton.,"https://www.google.com/maps/place/Cineding+Leipzig/@51.3308019,12.3301068,17z/data=!3m1!4b1!4m5!3m4!1s0x47a6f7a04b9bedcd:0xa08679272e6d2910!8m2!3d51.3308019!4d12.3322955?hl=en-GB",,,87456848
43,2014-12-06,Kino 51 Stufen,31,17,kino-51-stufen-flensburg,Friedrich-Ebert-Str. 7,24937,Flensburg,9.436219,54.780918,0461 31802 184,http://www.51stufen.de,http://www.51stufen.de,Hier kommt ein Karton. Hier kommt ein Karton. Hier kommt ein Karton.,"https://www.google.com/maps/place/Cinema+51+stages/@54.7809184,9.4362191,17z/data=!3m1!4b1!4m5!3m4!1s0x47b34299d0a84e51:0x79c5e14d6d031e08!8m2!3d54.7809184!4d9.4384078?hl=en-GB",,,173466464
44,2014-12-08,Apollo,2,1,apollo-aachen,Pontstraße 141-149,52062,Aachen,6.078979,50.78067,0241 9008484,http://www.apollo-aachen.de/,http://www.apollo-aachen.de/,Hier kommt ein Karton. Hier kommt ein Karton. Hier kommt ein Karton.,"https://www.google.de/maps/place/Apollo+Kino+%26+Bar/@50.7806704,6.078979,15z/data=!4m2!3m1!1s0x0:0x9328c9881217c03c?sa=X&ved=0ahUKEwifxuKrlbfWAhUBQBQKHXMrBm8Q_BIIxQEwDw",https://vimeo.com/232468873,,173455565
